Zip Code,City/Township/Community,Municipal,County,State,Utility
15089,West Newton,,Westmoreland,Pennsylvania,PNG
15090,Wexford,,Allegheny,Pennsylvania,PNG
15091,Wildwood,,Allegheny,Pennsylvania,PNG
15101,Allison Park,,Allegheny,Pennsylvania,PNG
15102,Bethel Park,,Allegheny,Pennsylvania,PNG
15104,Braddock,,Allegheny,Pennsylvania,PNG
15106,Carnegie,,Allegheny,Pennsylvania,PNG
15108,Coraopolis,,Allegheny,Pennsylvania,PNG
15110,Duquesne,,Allegheny,Pennsylvania,PNG
15112,East Pittsburgh,,Allegheny,Pennsylvania,PNG
15116,Glenshaw,,Allegheny,Pennsylvania,PNG
15120,Homestead,,Allegheny,Pennsylvania,PNG
15122,West Mifflin,,Allegheny,Pennsylvania,PNG
15123,West Mifflin,,Allegheny,Pennsylvania,PNG
15126,Imperial,,Allegheny,Pennsylvania,PNG
15127,Ingomar,,Allegheny,Pennsylvania,PNG
15129,South Park,,Allegheny,Pennsylvania,PNG
15131,Mckeesport,,Allegheny,Pennsylvania,PNG
15132,Mckeesport,,Allegheny,Pennsylvania,PNG
15133,Mckeesport,,Allegheny,Pennsylvania,PNG
15135,Mckeesport,,Allegheny,Pennsylvania,PNG
15136,Mc Kees Rocks,,Allegheny,Pennsylvania,PNG
15137,North Versailles,,Allegheny,Pennsylvania,PNG
15139,Oakmont,,Allegheny,Pennsylvania,PNG
15140,Pitcairn,,Allegheny,Pennsylvania,PNG
15142,Presto,,Allegheny,Pennsylvania,PNG
15143,Sewickley,,Allegheny,Pennsylvania,PNG
15144,Springdale,,Allegheny,Pennsylvania,PNG
15145,Turtle Creek,,Allegheny,Pennsylvania,PNG
15146,Monroeville,,Allegheny,Pennsylvania,PNG
15147,Verona,,Allegheny,Pennsylvania,PNG
15148,Wilmerding,,Allegheny,Pennsylvania,PNG
15201,Pittsburgh,,Allegheny,Pennsylvania,PNG
15202,Pittsburgh,,Allegheny,Pennsylvania,PNG
15203,Pittsburgh,,Allegheny,Pennsylvania,PNG
15204,Pittsburgh,,Allegheny,Pennsylvania,PNG
15205,Pittsburgh,,Allegheny,Pennsylvania,PNG
15206,Pittsburgh,,Allegheny,Pennsylvania,PNG
15207,Pittsburgh,,Allegheny,Pennsylvania,PNG
15208,Pittsburgh,,Allegheny,Pennsylvania,PNG
15209,Pittsburgh,,Allegheny,Pennsylvania,PNG
15210,Pittsburgh,,Allegheny,Pennsylvania,PNG
15211,Pittsburgh,,Allegheny,Pennsylvania,PNG
15212,Pittsburgh,,Allegheny,Pennsylvania,PNG
15213,Pittsburgh,,Allegheny,Pennsylvania,PNG
15214,Pittsburgh,,Allegheny,Pennsylvania,PNG
15215,Pittsburgh,,Allegheny,Pennsylvania,PNG
15216,Pittsburgh,,Allegheny,Pennsylvania,PNG
15217,Pittsburgh,,Allegheny,Pennsylvania,PNG
15218,Pittsburgh,,Allegheny,Pennsylvania,PNG
15219,Pittsburgh,,Allegheny,Pennsylvania,PNG
15220,Pittsburgh,,Allegheny,Pennsylvania,PNG
15221,Pittsburgh,,Allegheny,Pennsylvania,PNG
15222,Pittsburgh,,Allegheny,Pennsylvania,PNG
15223,Pittsburgh,,Allegheny,Pennsylvania,PNG
15224,Pittsburgh,,Allegheny,Pennsylvania,PNG
15226,Pittsburgh,,Allegheny,Pennsylvania,PNG
15227,Pittsburgh,,Allegheny,Pennsylvania,PNG
15228,Pittsburgh,,Allegheny,Pennsylvania,PNG
15229,Pittsburgh,,Allegheny,Pennsylvania,PNG
15231,Pittsburgh,,Allegheny,Pennsylvania,PNG
15232,Pittsburgh,,Allegheny,Pennsylvania,PNG
15233,Pittsburgh,,Allegheny,Pennsylvania,PNG
15234,Pittsburgh,,Allegheny,Pennsylvania,PNG
15235,Pittsburgh,,Allegheny,Pennsylvania,PNG
15236,Pittsburgh,,Allegheny,Pennsylvania,PNG
15237,Pittsburgh,,Allegheny,Pennsylvania,PNG
15238,Pittsburgh,,Allegheny,Pennsylvania,PNG
15239,Pittsburgh,,Allegheny,Pennsylvania,PNG
15240,Pittsburgh,,Allegheny,Pennsylvania,PNG
15241,Pittsburgh,,Allegheny,Pennsylvania,PNG
15242,Pittsburgh,,Allegheny,Pennsylvania,PNG
15243,Pittsburgh,,Allegheny,Pennsylvania,PNG
15260,Pittsburgh,,Allegheny,Pennsylvania,PNG
15261,Pittsburgh,,Allegheny,Pennsylvania,PNG
15275,Pittsburgh,,Allegheny,Pennsylvania,PNG
15282,Pittsburgh,,Allegheny,Pennsylvania,PNG
15290,Pittsburgh,,Allegheny,Pennsylvania,PNG
15301,Washington,,Washington,Pennsylvania,PNG
15310,Aleppo,,Greene,Pennsylvania,PNG
15311,Amity,,Washington,Pennsylvania,PNG
15313,Beallsville,,Washington,Pennsylvania,PNG
15314,Bentleyville,,Washington,Pennsylvania,PNG
15316,Brave,,Greene,Pennsylvania,PNG
15317,Canonsburg,,Washington,Pennsylvania,PNG
15320,Carmichaels,,Greene,Pennsylvania,PNG
15322,Clarksville,,Greene,Pennsylvania,PNG
15323,Claysville,,Washington,Pennsylvania,PNG
15324,Cokeburg,,Washington,Pennsylvania,PNG
15327,Dilliner,,Greene,Pennsylvania,PNG
15329,Prosperity,,Washington,Pennsylvania,PNG
15330,Eighty Four,,Washington,Pennsylvania,PNG
15331,Ellsworth,,Washington,Pennsylvania,PNG
15332,Finleyville,,Washington,Pennsylvania,PNG
15333,Fredericktown,,Washington,Pennsylvania,PNG
15334,Garards Fort,,Greene,Pennsylvania,PNG
15336,Gastonville,,Washington,Pennsylvania,PNG
15337,Graysville,,Greene,Pennsylvania,PNG
15338,Greensboro,,Greene,Pennsylvania,PNG
15339,Hendersonville,,Washington,Pennsylvania,PNG
15341,Holbrook,,Greene,Pennsylvania,PNG
15342,Houston,,Washington,Pennsylvania,PNG
15344,Jefferson,,Greene,Pennsylvania,PNG
15345,Marianna,,Washington,Pennsylvania,PNG
15346,Mather,,Greene,Pennsylvania,PNG
15348,Millsboro,,Washington,Pennsylvania,PNG
15349,Mount Morris,,Greene,Pennsylvania,PNG
15352,New Freeport,,Greene,Pennsylvania,PNG
15353,Nineveh,,Greene,Pennsylvania,PNG
15357,Rices Landing,,Greene,Pennsylvania,PNG
15358,Richeyville,,Washington,Pennsylvania,PNG
15359,Rogersville,,Greene,Pennsylvania,PNG
15360,Scenery Hill,,Washington,Pennsylvania,PNG
15362,Spraggs,,Greene,Pennsylvania,PNG
15363,Strabane,,Washington,Pennsylvania,PNG
15364,Sycamore,,Greene,Pennsylvania,PNG
15366,Van Voorhis,,Washington,Pennsylvania,PNG
15367,Venetia,,Washington,Pennsylvania,PNG
15370,Waynesburg,,Greene,Pennsylvania,PNG
15377,West Finley,,Washington,Pennsylvania,PNG
15380,Wind Ridge,,Greene,Pennsylvania,PNG
15401,Uniontown,,Fayette,Pennsylvania,PNG
15417,Brownsville,,Fayette,Pennsylvania,PNG
15419,California,,Washington,Pennsylvania,PNG
15421,Chalk Hill,,Fayette,Pennsylvania,PNG
15423,Coal Center,,Washington,Pennsylvania,PNG
15427,Daisytown,,Washington,Pennsylvania,PNG
15431,Dunbar,,Fayette,Pennsylvania,PNG
15436,Fairchance,,Fayette,Pennsylvania,PNG
15438,Fayette City,,Fayette,Pennsylvania,PNG
15445,Hopwood,,Fayette,Pennsylvania,PNG
15454,Leckrone,,Fayette,Pennsylvania,PNG
15456,Lemont Furnace,,Fayette,Pennsylvania,PNG
15458,Mc Clellandtown,,Fayette,Pennsylvania,PNG
15461,Masontown,,Fayette,Pennsylvania,PNG
15473,Perryopolis,,Fayette,Pennsylvania,PNG
15474,Point Marion,,Fayette,Pennsylvania,PNG
15478,Smithfield,,Fayette,Pennsylvania,PNG
15479,Smithton,,Westmoreland,Pennsylvania,PNG
15480,Smock,,Fayette,Pennsylvania,PNG
15482,Star Junction,,Fayette,Pennsylvania,PNG
15486,Vanderbilt,,Fayette,Pennsylvania,PNG
15488,Waltersburg,,Fayette,Pennsylvania,PNG
15501,Somerset,,Somerset,Pennsylvania,PNG
15502,Hidden Valley,,Somerset,Pennsylvania,PNG
15531,Boswell,,Somerset,Pennsylvania,PNG
15563,Stoystown,,Somerset,Pennsylvania,PNG
15601,Greensburg,,Westmoreland,Pennsylvania,PNG
15610,Acme,,Westmoreland,Pennsylvania,PNG
15611,Adamsburg,,Westmoreland,Pennsylvania,PNG
15613,Apollo,,Westmoreland,Pennsylvania,PNG
15616,Armbrust,,Westmoreland,Pennsylvania,PNG
15617,Arona,,Westmoreland,Pennsylvania,PNG
15618,Avonmore,,Westmoreland,Pennsylvania,PNG
15619,Bovard,,Westmoreland,Pennsylvania,PNG
15620,Bradenville,,Westmoreland,Pennsylvania,PNG
15622,Champion,,Westmoreland,Pennsylvania,PNG
15623,Claridge,,Westmoreland,Pennsylvania,PNG
15626,Delmont,,Westmoreland,Pennsylvania,PNG
15627,Derry,,Westmoreland,Pennsylvania,PNG
15629,East Vandergrift,,Westmoreland,Pennsylvania,PNG
15632,Export,,Westmoreland,Pennsylvania,PNG
15634,Grapeville,,Westmoreland,Pennsylvania,PNG
15635,Hannastown,,Westmoreland,Pennsylvania,PNG
15636,Harrison City,,Westmoreland,Pennsylvania,PNG
15638,Hostetter,,Westmoreland,Pennsylvania,PNG
15639,Hunker,,Westmoreland,Pennsylvania,PNG
15641,Hyde Park,,Westmoreland,Pennsylvania,PNG
15642,Irwin,,Westmoreland,Pennsylvania,PNG
15644,Jeannette,,Westmoreland,Pennsylvania,PNG
15646,Jones Mills,,Westmoreland,Pennsylvania,PNG
15647,Larimer,,Westmoreland,Pennsylvania,PNG
15650,Latrobe,,Westmoreland,Pennsylvania,PNG
15655,Laughlintown,,Westmoreland,Pennsylvania,PNG
15656,Leechburg,,Armstrong,Pennsylvania,PNG
15658,Ligonier,,Westmoreland,Pennsylvania,PNG
15660,Lowber,,Westmoreland,Pennsylvania,PNG
15661,Loyalhanna,,Westmoreland,Pennsylvania,PNG
15662,Luxor,,Westmoreland,Pennsylvania,PNG
15663,Madison,,Westmoreland,Pennsylvania,PNG
15665,Manor,,Westmoreland,Pennsylvania,PNG
15666,Mount Pleasant,,Westmoreland,Pennsylvania,PNG
15668,Murrysville,,Westmoreland,Pennsylvania,PNG
15670,New Alexandria,,Westmoreland,Pennsylvania,PNG
15671,New Derry,,Westmoreland,Pennsylvania,PNG
15672,New Stanton,,Westmoreland,Pennsylvania,PNG
15673,North Apollo,,Armstrong,Pennsylvania,PNG
15674,Norvelt,,Westmoreland,Pennsylvania,PNG
15675,Penn,,Westmoreland,Pennsylvania,PNG
15676,Pleasant Unity,,Westmoreland,Pennsylvania,PNG
15677,Rector,,Westmoreland,Pennsylvania,PNG
15679,Ruffs Dale,,Westmoreland,Pennsylvania,PNG
15680,Salina,,Westmoreland,Pennsylvania,PNG
15681,Saltsburg,,Indiana,Pennsylvania,PNG
15682,Schenley,,Armstrong,Pennsylvania,PNG
15685,Southwest,,Westmoreland,Pennsylvania,PNG
15686,Spring Church,,Armstrong,Pennsylvania,PNG
15688,Tarrs,,Westmoreland,Pennsylvania,PNG
15690,Vandergrift,,Westmoreland,Pennsylvania,PNG
15692,Westmoreland City,,Westmoreland,Pennsylvania,PNG
15693,Whitney,,Westmoreland,Pennsylvania,PNG
15696,Youngstown,,Westmoreland,Pennsylvania,PNG
15697,Youngwood,,Westmoreland,Pennsylvania,PNG
15698,Yukon,,Westmoreland,Pennsylvania,PNG
15701,Indiana,,Indiana,Pennsylvania,PNG
15705,Indiana,,Indiana,Pennsylvania,PNG
15714,Northern Cambria,,Cambria,Pennsylvania,PNG
15717,Blairsville,,Indiana,Pennsylvania,PNG
15722,Carrolltown,,Cambria,Pennsylvania,PNG
15725,Clarksburg,,Indiana,Pennsylvania,PNG
15731,Coral,,Indiana,Pennsylvania,PNG
15732,Creekside,,Indiana,Pennsylvania,PNG
15736,Elderton,,Armstrong,Pennsylvania,PNG
15744,Hamilton,,Jefferson,Pennsylvania,PNG
15747,Home,,Indiana,Pennsylvania,PNG
15748,Homer City,,Indiana,Pennsylvania,PNG
15754,Lucernemines,,Indiana,Pennsylvania,PNG
15756,Mc Intyre,,Indiana,Pennsylvania,PNG
15759,Marion Center,,Indiana,Pennsylvania,PNG
15763,Northpoint,,Indiana,Pennsylvania,PNG
15765,Penn Run,,Indiana,Pennsylvania,PNG
15767,Punxsutawney,,Jefferson,Pennsylvania,PNG
15770,Ringgold,,Jefferson,Pennsylvania,PNG
15771,Rochester Mills,,Indiana,Pennsylvania,PNG
15774,Shelocta,,Indiana,Pennsylvania,PNG
15778,Timblin,,Jefferson,Pennsylvania,PNG
15779,Torrance,,Westmoreland,Pennsylvania,PNG
15783,West Lebanon,,Indiana,Pennsylvania,PNG
15864,Summerville,,Jefferson,Pennsylvania,PNG
15901,Johnstown,,Cambria,Pennsylvania,PNG
15902,Johnstown,,Cambria,Pennsylvania,PNG
15904,Johnstown,,Cambria,Pennsylvania,PNG
15905,Johnstown,,Cambria,Pennsylvania,PNG
15906,Johnstown,,Cambria,Pennsylvania,PNG
15907,Johnstown,,Cambria,Pennsylvania,PNG
15909,Johnstown,,Cambria,Pennsylvania,PNG
15923,Bolivar,,Westmoreland,Pennsylvania,PNG
15924,Cairnbrook,,Somerset,Pennsylvania,PNG
15928,Davidsville,,Somerset,Pennsylvania,PNG
15931,Ebensburg,,Cambria,Pennsylvania,PNG
15934,Elton,,Cambria,Pennsylvania,PNG
15935,Hollsopple,,Somerset,Pennsylvania,PNG
15938,Lilly,,Cambria,Pennsylvania,PNG
15940,Loretto,,Cambria,Pennsylvania,PNG
15942,Mineral Point,,Cambria,Pennsylvania,PNG
15943,Nanty Glo,,Cambria,Pennsylvania,PNG
15944,New Florence,,Westmoreland,Pennsylvania,PNG
15945,Parkhill,,Cambria,Pennsylvania,PNG
15946,Portage,,Cambria,Pennsylvania,PNG
15949,Robinson,,Indiana,Pennsylvania,PNG
15952,Salix,,Cambria,Pennsylvania,PNG
15956,South Fork,,Cambria,Pennsylvania,PNG
15957,Strongstown,,Indiana,Pennsylvania,PNG
15958,Summerhill,,Cambria,Pennsylvania,PNG
15963,Windber,,Somerset,Pennsylvania,PNG
16002,Butler,,Butler,Pennsylvania,PNG
16021,Branchton,,Butler,Pennsylvania,PNG
16023,Cabot,,Butler,Pennsylvania,PNG
16024,Callery,,Butler,Pennsylvania,PNG
16033,Evans City,,Butler,Pennsylvania,PNG
16036,Foxburg,,Clarion,Pennsylvania,PNG
16037,Harmony,,Butler,Pennsylvania,PNG
16038,Harrisville,,Butler,Pennsylvania,PNG
16046,Mars,,Butler,Pennsylvania,PNG
16051,Portersville,,Butler,Pennsylvania,PNG
16052,Prospect,,Butler,Pennsylvania,PNG
16053,Renfrew,,Butler,Pennsylvania,PNG
16055,Sarver,,Butler,Pennsylvania,PNG
16056,Saxonburg,,Butler,Pennsylvania,PNG
16057,Slippery Rock,,Butler,Pennsylvania,PNG
16059,Valencia,,Butler,Pennsylvania,PNG
16063,Zelienople,,Butler,Pennsylvania,PNG
16066,Cranberry Township,,Butler,Pennsylvania,PNG
16101,New Castle,,Lawrence,Pennsylvania,PNG
16105,New Castle,,Lawrence,Pennsylvania,PNG
16107,New Castle,,Lawrence,Pennsylvania,PNG
16115,Darlington,,Beaver,Pennsylvania,PNG
16120,Enon Valley,,Lawrence,Pennsylvania,PNG
16123,Fombell,,Beaver,Pennsylvania,PNG
16127,Grove City,,Mercer,Pennsylvania,PNG
16133,Jackson Center,,Mercer,Pennsylvania,PNG
16142,New Wilmington,,Lawrence,Pennsylvania,PNG
16143,Pulaski,,Lawrence,Pennsylvania,PNG
16145,Sandy Lake,,Mercer,Pennsylvania,PNG
16153,Stoneboro,,Mercer,Pennsylvania,PNG
16156,Volant,,Lawrence,Pennsylvania,PNG
16172,New Wilmington,,Lawrence,Pennsylvania,PNG
16201,Kittanning,,Armstrong,Pennsylvania,PNG
16210,Adrian,,Armstrong,Pennsylvania,PNG
16211,Beyer,,Indiana,Pennsylvania,PNG
16212,Cadogan,,Armstrong,Pennsylvania,PNG
16214,Clarion,,Clarion,Pennsylvania,PNG
16218,Cowansville,,Armstrong,Pennsylvania,PNG
16222,Dayton,,Armstrong,Pennsylvania,PNG
16223,Distant,,Armstrong,Pennsylvania,PNG
16224,Fairmount City,,Clarion,Pennsylvania,PNG
16226,Ford City,,Armstrong,Pennsylvania,PNG
16228,Ford Cliff,,Armstrong,Pennsylvania,PNG
16229,Freeport,,Armstrong,Pennsylvania,PNG
16234,Limestone,,Clarion,Pennsylvania,PNG
16236,Mc Grann,,Armstrong,Pennsylvania,PNG
16238,Manorville,,Armstrong,Pennsylvania,PNG
16240,Mayport,,Clarion,Pennsylvania,PNG
16242,New Bethlehem,,Clarion,Pennsylvania,PNG
16244,Nu Mine,,Armstrong,Pennsylvania,PNG
16248,Rimersburg,,Clarion,Pennsylvania,PNG
16249,Rural Valley,,Armstrong,Pennsylvania,PNG
16250,Sagamore,,Armstrong,Pennsylvania,PNG
16255,Sligo,,Clarion,Pennsylvania,PNG
16256,Smicksburg,,Indiana,Pennsylvania,PNG
16259,Templeton,,Armstrong,Pennsylvania,PNG
16262,Worthington,,Armstrong,Pennsylvania,PNG
16263,Yatesboro,,Armstrong,Pennsylvania,PNG
16372,Clintonville,,Venango,Pennsylvania,PNG
16374,Kennerdell,,Venango,Pennsylvania,PNG
16601,Altoona,,Blair,Pennsylvania,PNG
16602,Altoona,,Blair,Pennsylvania,PNG
16603,Altoona,,Blair,Pennsylvania,PNG
16617,Bellwood,,Blair,Pennsylvania,PNG
16624,Chest Springs,,Cambria,Pennsylvania,PNG
16625,Claysburg,,Blair,Pennsylvania,PNG
16630,Cresson,,Cambria,Pennsylvania,PNG
16635,Duncansville,,Blair,Pennsylvania,PNG
16637,East Freedom,,Blair,Pennsylvania,PNG
16638,Entriken,,Huntingdon,Pennsylvania,PNG
16641,Gallitzin,,Cambria,Pennsylvania,PNG
16646,Hastings,,Cambria,Pennsylvania,PNG
16648,Hollidaysburg,,Blair,Pennsylvania,PNG
16684,Tipton,,Blair,Pennsylvania,PNG
16686,Tyrone,,Blair,Pennsylvania,PNG
