Rate Id,Utility,Name,Rate Type,Term,Price,Unit,TC Version,Most Popular,Regular Price,Discount %,Plan Name,Benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Carbon Better
300,DTE,7,Fixed Rate,For the following 12 monthly billing cycles,0.519,Ccf,300.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
676,DUKE:G,PV18,Fixed Rate,12 Monthly Billing Cycles,0.549,Ccf,676.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
782,DUKE:G,PV11a,First Month Variable Rate,One Month,0.369,Ccf,782.pdf,Yes,0.55,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
779,DUKE:P,PN23,First Month Variable Rate,One Month,0.04,kWh,779.pdf,Yes,0.08,48%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
732,DUKE:P,PN22,Flat Rate,For the following 12 monthly billing cycles.,79.99,Month,732.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
729,FE:CEI,FE:CEIFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,Month,729.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
772,FE:CEI,FE:CEIP05,First Month Variable Rate,One Month,0.04,kWh,772.pdf,Yes,0.77,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
728,FE:OE,FE:OEFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,Month,728.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
773,FE:OE,FE:OEP05,First Month Variable Rate,One Month,0.04,kWh,773.pdf,Yes,0.77,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
730,FE:TE,FE:TEFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,Month,730.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
774,FE:TE,FE:TEP05,First Month Variable Rate,One Month,0.04,kWh,774.pdf,Yes,0.77,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
403,MGU,Pool 05,First Month Variable Rate,One Month,3.45,Mcf,403.pdf,Yes,5.61,39%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
624,MGU,Pool 06,Fixed Rate,For the following 12 monthly billing cycles,0.479,Ccf,624.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
722,PECO,PECO01,First Month Variable Rate,One Month,0.349,Ccf,722.pdf,Yes,0.59,41%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
724,PECO,PECO03,Fixed Rate,For the following 12 monthly billing cycles.,0.449,Ccf,724.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
713,PGW,PVM02VV01,First Month Variable Rate,1 Month,0.349,Ccf,713.pdf,Yes,0.66,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
715,PGW,PVM02FF01,Fixed Rate,12 Months,0.449,Ccf,715.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
640,SEMCO,19006,Fixed Rate,For 12 Monthly Billing Cycles,0.479,Therm,640.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
270,SEMCO,19904,First Month Variable Rate,One Month,0.329,Therm,270.pdf,Yes,0.53,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
783,VEDO,K306a,Fixed Rate,12,0.545,Ccf,783.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
123,VEDO,K300,First Month Variable Rate,One Month,0.399,Ccf,123.pdf,Yes,0.57,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
