Rate Id,Utility,Name,Rate Type,Term,Price,Unit,TC Version,Most Popular,Regular Price,Discount %,Plan Name,Benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Carbon Better
400,DPL,PRO06,Fixed Rate,For the following 12 monthly billing cycles,0.0725,kWh,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
778,DPL,PRO0F,First Month Variable Rate,One Month,0.04,kWh,dummy.pdf,Yes,0.05,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
243,DTE,6,First Month Variable Rate,One Month,0.339,Ccf,dummy.pdf,Yes,0.441,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
300,DTE,7,Fixed Rate,For the following 12 monthly billing cycles,0.519,Ccf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
676,DUKE:G,PV18,Fixed Rate,12 Monthly Billing Cycles,0.549,Ccf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
782,DUKE:G,PV11a,First Month Variable Rate,One Month,0.369,Ccf,dummy.pdf,Yes,0.48,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
652,DUKE:P,PN14,Fixed Rate,For the following 12 monthly billing cycles,0.0759,kWh,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
779,DUKE:P,PN23,First Month Variable Rate,One Month,0.04,kWh,dummy.pdf,Yes,0.05,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
732,DUKE:P,PN22,Flat Rate,For the following 12 monthly billing cycles.,79.99,kWh,dummy.pdf,,,,Unllimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
729,FE:CEI,FE:CEIFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,kWh,dummy.pdf,,,,Unllimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
649,FE:CEI,FE:CEIG03,Fixed Rate,For the following 12 monthly billing cycles,0.0759,kWh,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
772,FE:CEI,FE:CEIP05,First Month Variable Rate,One Month,0.04,kWh,dummy.pdf,Yes,0.05,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
728,FE:OE,FE:OEFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,kWh,dummy.pdf,,,,Unllimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
773,FE:OE,FE:OEP05,First Month Variable Rate,One Month,0.04,kWh,dummy.pdf,Yes,0.05,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
651,FE:OE,FE:OEG03,Fixed Rate,For the following 12 monthly billing cycles,0.0759,kWh,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
730,FE:TE,FE:TEFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,kWh,dummy.pdf,,,,Unllimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
650,FE:TE,FE:TEG03,Fixed Rate,For the following 12 monthly billing cycles,0.0759,kWh,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
774,FE:TE,FE:TEP05,First Month Variable Rate,One Month,0.04,kWh,dummy.pdf,Yes,0.05,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
403,MGU,Pool 05,First Month Variable Rate,One Month,0.345,Ccf,dummy.pdf,Yes,0.449,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
624,MGU,Pool 06,Fixed Rate,For the following 12 monthly billing cycles,0.479,Ccf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
722,PECO,PECO01,First Month Variable Rate,One Month,0.349,Ccf,dummy.pdf,Yes,0.454,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
724,PECO,PECO03,Fixed Rate,For the following 12 monthly billing cycles.,0.449,Ccf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
713,PGW,PVM02VV01,First Month Variable Rate,1 Month,0.349,Ccf,dummy.pdf,Yes,0.454,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
715,PGW,PVM02FF01,Fixed Rate,12 Months,0.449,Ccf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
640,SEMCO,19006,Fixed Rate,For 12 Monthly Billing Cycles,0.479,Therm,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
270,SEMCO,19904,First Month Variable Rate,One Month,0.329,Therm,dummy.pdf,Yes,0.428,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
269,SEMCO,19004,First Month Variable Rate,One Month,0.329,Therm,dummy.pdf,Yes,0.428,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
638,SEMCO,19906,Fixed Rate,For the following 12 Monthly Billing Cycles,0.479,Therm,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
783,VEDO,K306a,Fixed Rate,12,0.545,Ccf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
123,VEDO,K300,First Month Variable Rate,One Month,0.399,Ccf,dummy.pdf,Yes,0.519,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
